"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Palangos m. sav.","Miestas ir kaimas","asmenys","16976"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Palangos m. sav.","Miestas ir kaimas","asmenys","18132"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Skuodo r. sav.","Miestas ir kaimas","asmenys","16493"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Skuodo r. sav.","Miestas ir kaimas","asmenys","16084"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Skuodo r. sav.","Miestas ir kaimas","asmenys","16250"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Skuodo r. sav.","Miestas ir kaimas","asmenys","15831"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Skuodo r. sav.","Miestas ir kaimas","asmenys","15484"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šilutės r. sav.","Miestas ir kaimas","asmenys","38204"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šilutės r. sav.","Miestas ir kaimas","asmenys","37641"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šilutės r. sav.","Miestas ir kaimas","asmenys","39067"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šilutės r. sav.","Miestas ir kaimas","asmenys","38493"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šilutės r. sav.","Miestas ir kaimas","asmenys","38514"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės apskritis","Miestas ir kaimas","asmenys","138678"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės apskritis","Miestas ir kaimas","asmenys","136671"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės apskritis","Miestas ir kaimas","asmenys","138292"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės apskritis","Miestas ir kaimas","asmenys","136429"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės apskritis","Miestas ir kaimas","asmenys","135891"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kalvarijos sav.","Miestas ir kaimas","asmenys","10438"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kalvarijos sav.","Miestas ir kaimas","asmenys","10187"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kalvarijos sav.","Miestas ir kaimas","asmenys","10093"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kalvarijos sav.","Miestas ir kaimas","asmenys","9919"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kalvarijos sav.","Miestas ir kaimas","asmenys","9913"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kazlų Rūdos sav.","Miestas ir kaimas","asmenys","11493"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kazlų Rūdos sav.","Miestas ir kaimas","asmenys","11339"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kazlų Rūdos sav.","Miestas ir kaimas","asmenys","11054"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kazlų Rūdos sav.","Miestas ir kaimas","asmenys","10959"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kazlų Rūdos sav.","Miestas ir kaimas","asmenys","10931"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","54090"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","53772"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","54846"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","54291"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės sav.","Miestas ir kaimas","asmenys","54710"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Marijampolės r. sav.","Miestas ir kaimas","asmenys",
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","27341"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","26707"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","26931"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","26318"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šakių r. sav.","Miestas ir kaimas","asmenys","25918"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","35316"
